id,day,periods_first_week,periods_nb_weeks,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,courses_id,teachers_id,room_name,[classes_ids]
27071,MON,19,9,0,1,1,1,1,0,0,0,0,0,0,0,38,1468,C311,[1780]
26786,MON,10,9,0,0,0,0,0,0,1,1,1,1,0,0,43,1450,C307,[1784]
26785,MON,1,9,0,0,0,0,0,0,1,1,1,1,0,0,42,1450,C307,[1784]
27096,MON,1,36,0,0,1,1,1,0,0,0,0,0,0,0,22,1446,C315,[1794]
27101,MON,19,18,1,1,0,0,0,0,0,0,0,0,0,0,109,1447,C305,[1771]
27102,MON,19,18,0,0,0,0,0,0,1,1,0,0,0,0,109,1438,C305,[1772]
27120,MON,1,36,0,1,1,1,1,1,1,1,1,1,1,0,90,1465,-,-
27121,MON,1,36,0,1,1,1,1,1,1,1,1,1,1,0,90,1464,-,-
27127,MON,1,18,0,0,0,0,0,0,1,1,1,1,1,0,108,1451,C305,[1778]
26771,MON,10,9,0,0,0,0,0,0,1,1,1,1,0,0,24,,-,[1781]
26770,MON,19,9,0,0,0,0,0,0,1,1,1,1,0,0,25,,-,[1781]
26787,MON,19,9,0,0,0,0,0,0,1,1,1,1,0,0,44,1450,R106,[1784]
26788,MON,28,9,1,1,1,1,1,0,0,0,0,0,0,0,47,1458,R106,[1784]
27095,MON,1,36,0,1,0,0,0,0,0,0,0,0,0,0,119,1446,C315,[1794]
27072,MON,1,9,0,0,0,0,0,0,1,1,1,1,0,0,26,1458,R106,[1780]
27073,MON,28,9,0,1,1,1,1,0,0,0,0,0,0,0,40,1440,C311,[1780]
27074,MON,1,9,0,1,1,1,1,0,0,0,0,0,0,0,61,1468,C311,[1780]
26802,MON,28,9,0,0,0,0,0,0,1,1,1,1,1,0,47,1450,R106,[1784]
27075,MON,10,9,0,1,1,1,1,0,0,0,0,0,0,0,39,1468,C311,[1780]
27077,MON,19,18,1,1,1,1,1,0,0,0,0,0,0,0,115,1451,C103,[1777]
27078,MON,19,18,0,0,0,0,0,0,1,1,1,1,1,0,115,1451,C103,[1779]
27084,MON,1,36,0,0,0,0,0,0,0,0,0,0,0,1,86,1453,-,-
